Tabela;Qtde arquivos;Arquivos
"hospedagem_cotacoes";"1";"assets/js/adm-hotel.js"
"hospedagem_diferencas_colaborador";"1";"assets/js/adm-hotel.js"
"hospedagem_eventos";"1";"assets/js/programacao-despesas.js"
"hospedagem_historico_atual_colaboradores";"1";"assets/js/hotel-relatorio-v2.js"
"hospedagem_historico_colaboradores";"2";"assets/js/modules/relatorios.js | assets/js/relatorios.js"
"hospedagem_hoteis";"1";"assets/js/adm-hotel.js"
"hospedagem_pagamento_parcelas";"1";"assets/js/adm-hotel.js"
"hospedagem_pagamentos_v3";"1";"assets/js/adm-hotel.js"
"hospedagem_painel_geral";"1";"assets/js/hotel-relatorio-v2.js"
"hospedagem_reserva_colaboradores";"1";"assets/js/adm-hotel.js"
"hospedagem_reserva_quartos";"1";"assets/js/adm-hotel.js"
"hospedagem_reserva_solicitacoes";"1";"assets/js/adm-hotel.js"
"hospedagem_reservas";"1";"assets/js/adm-hotel.js"
"hospedagem_solicitacao_colaboradores";"2";"assets/js/hotel-relatorio-v2.js | assets/js/programacao-despesas.js"
"hospedagem_solicitacoes";"3";"assets/js/adm-hotel.js | assets/js/notificacoes-engine.js | assets/js/programacao-despesas.js"
"hospedagem_v3_itens";"2";"assets/js/adm-hotel.js | assets/js/hospedagem.js"
"indisponibilidades";"3";"assets/js/indisponibilidade.js | assets/js/programacao-equipe.js | assets/js/programacao.js"
"logistica_abertura_os";"5";"assets/js/adm-logistica.js | assets/js/logistica-abertura-os-correcao.js | assets/js/logistica-abertura-os-workflow.js | assets/js/logistica.js | assets/js/menuBuilder.js"
"logistica_alertas";"1";"assets/js/adm-logistica.js"
"logistica_btg_distribuicao";"3";"assets/js/btg-logistica-agentes-ui.js | assets/js/btg-logistica.js | assets/js/modules/relatorios.js"
"logistica_btg_lista_os";"2";"assets/js/btg-logistica-agentes-ui.js | assets/js/btg-logistica.js"
"logistica_btg_solicitacoes";"4";"assets/js/btg-logistica-agentes-ui.js | assets/js/btg-logistica.js | assets/js/modules/relatorios.js | assets/js/relatorios.js"
"logistica_cargas_irregularidades";"2";"assets/js/cargas-irregularidades.js | assets/js/ti-agentes.js"
