"Rota";"Página HTML";"Arquivo principal";"Arquivos complementares";"Hotfixes carregados";"Tabelas Supabase";"RPCs";"Buckets";"Integrações"
"indisponibilidade";"indisponibilidade.html";"assets/js/indisponibilidade.js";"assets/js/indisponibilidade-informados.js";"";"indisponibilidades | rh_atestados | rh_ferias";"";"";""
"login";"login.html";"assets/js/login.js";"";"";"";"";"";""
"logistica-abertura-os";"logistica-abertura-os.html";"assets/js/logistica-admin-entry.js";"";"";"";"";"";""
"logistica-adm-os";"logistica-adm-os.html";"assets/js/logistica-admin-entry.js";"";"";"";"";"";""
"logistica-classificadores";"logistica-classificadores.html";"assets/js/logistica-admin-entry.js";"";"";"";"";"";""
"logistica-conferencias";"logistica-conferencias.html";"assets/js/logistica-admin-entry.js";"";"";"";"";"";""
"logistica-exportacoes";"logistica-exportacoes.html";"assets/js/logistica-admin-entry.js";"";"";"";"";"";""
"logistica-finalizacao";"logistica-finalizacao.html";"assets/js/logistica-admin-entry.js";"";"";"";"";"";""
"logistica-fob";"logistica-fob.html";"assets/js/logistica-fob-page-v9.js";"";"assets/js/logistica-fob-page-v9.js | assets/js/logistica-fob-regional-v6.js";"logistica_fob | logistica_nhe_lancamentos_auto";"fob_lote_recente | fob_producao_lote_vencedor";"";"GRM Server"
"logistica-informativos";"logistica-informativos.html";"assets/js/logistica-informativos.js";"assets/js/logistica-informativos-ui.js | assets/js/logistica-informativos-efetivos.js";"assets/js/logistica-informativos-efetivos-fix.js";"colaboradores | relatorio_resultado_diario";"";"";""
"logistica-os";"logistica-os.html";"assets/js/logistica-os-entry.js";"assets/js/edge-function-error-details.js | assets/js/logistica-conferencia-ocr.js";"";"grm_cargas_importacoes | operacional_os";"";"";"OCR"
"logistica-relatorios";"logistica-relatorios.html";"assets/js/logistica-admin-entry.js";"";"";"";"";"";""
"logistica";"logistica.html";"assets/js/logistica.js";"assets/js/logistica-abertura-os-correcao.js";"";"colaboradores | logistica_abertura_os | logistica_fob | operacional_os | relatorio_resultado_diario | supervisoes";"reenviar_abertura_os_corrigida | salvar_logistica_fob_importacao";"";""
"logs-usuarios";"logs-usuarios.html";"assets/js/logs-usuarios.js";"";"";"app_logs_usuarios";"";"";""
"metas";"metas.html";"assets/js/metas.js";"";"";"";"";"";""
"notas-fiscais";"notas-fiscais.html";"assets/js/notas-fiscais.js";"";"";"compras_itens | financeiro_notas_fiscais_resumo | financeiro_pagamentos";"";"";"OCR"
"notificacoes";"notificacoes.html";"assets/js/notificacoes.js";"";"";"painel_notificacoes | painel_notificacoes_usuarios";"";"";""
"page-template";"page-template.html";"";"";"";"";"";"";""
"patrimonio-relatorios";"patrimonio-relatorios.html";"";"";"";"";"";"";""
"patrimonio-status";"patrimonio-status.html";"assets/js/patrimonioStatus.js";"";"";"patrimonios_snapshot";"";"";""
"patrimonios";"patrimonios.html";"assets/js/patrimonios.js";"";"";"compras_patrimonios_cadastro | vw_patrimonios_atual";"";"";""
"plantao";"plantao.html";"assets/js/plantao.js";"";"";"colaboradores | rh_plantao_contatos | rh_plantao_escalas | rh_plantao_modelos | rh_plantao_setores";"";"";"Google Drive"
"programacao";"programacao.html";"assets/js/programacao.js";"assets/js/programacao-supervisoes-cache.js | assets/js/programacao-gestor-fluxo-avancado.js | assets/js/programacao-lista-drawer-fixo.js | assets/js/programacao-indisponibilidade-sync.js | assets/js/programacao-indisponibilidade-rh-lock.js";"assets/js/programacao-ultima-programacao-fix.js | assets/js/programacao-hospedagem-colaboradores-fix.js | assets/js/programacao-gestor-ajustes.js | assets/js/programacao-kpi-inline-patch.js | assets/js/programacao-gestor-filtro-fix.js | assets/js/programacao-mobile-ui-fix.js | assets/js/programacao-lista-drawer-ux-hotfix.js | assets/js/programacao-pdf-tipo-fix.js";"app_usuarios | colaborador_cruzamento | colaboradores | colaboradores_atuais | frotas_veiculos | hospedagem_alojamentos | indisponibilidades | logistica_fob | operacional_colaborador_base | operacional_os | operacional_os_colaboradores | operacional_pontos_embarque | patrimonios_snapshot | programacao_alimentacao | programacao_colaboradores | programacao_deslocamento | programacao_dia | programacao_estadia | programacao_extras | rh_atestados | rh_ferias | supervisoes";"programacao_listar_supervisoes | programacao_supervisoes_com_os_acionavel";"";""
"propostas";"propostas.html";"assets/js/propostas.js";"";"";"propostas_comerciais | propostas_gestores_regionais";"";"";""
"relatorio-caixa-fornecedor";"relatorio-caixa-fornecedor.html";"assets/js/relatorio-importador.js";"";"";"";"";"";""
"relatorio-cargas";"relatorio-cargas.html";"assets/js/relatorio-importador.js";"";"";"";"";"";""
"relatorio-despesas";"relatorio-despesas.html";"assets/js/relatorio-importador.js";"";"";"";"";"";""
